Index,C(c),C(w),D
0,0.36818250372840705,0.2922329635554624,0.07594954017294464
1,0.3254221506536591,0.3579020809479639,-0.03247993029430479
2,0.36389247283505305,0.33969354781310085,0.0241989250219522
3,0.5034272396591171,0.5639861839611018,-0.06055894430198472
4,0.43098033412818854,0.28149812061231044,0.1494822135158781
5,0.43065361895853477,0.2863121222941564,0.14434149666437834
6,0.3952302210298009,0.46457406530825707,-0.06934384427845619
7,0.36429100671472453,0.3780209332475728,-0.013729926532848269
8,0.4328069663851669,0.43279484677125735,1.211961390956695e-05
9,0.3640721395467156,0.29170450317028623,0.07236763637642935
10,0.6360157336241432,0.4933074318117609,0.1427083018123823
11,0.3798522242475101,0.3382681359409265,0.04158408830658361
12,0.11770987007051731,0.18007245524238577,-0.06236258517186846
13,0.2494872845352317,0.29812638693576865,-0.048639102400536954
14,0.637457642617325,0.5057859311362022,0.13167171148112278
15,0.3495471870017835,0.30908951737297236,0.040457669628811144
16,0.48146365868058383,0.3905674132223247,0.09089624545825914
17,0.184705013209965,0.19388098649337496,-0.009175973283409966
18,0.2158087919655688,0.20842976724597578,0.007379024719593008
19,0.18765708815930277,0.14623540287628892,0.04142168528301385
20,0.4956611309641678,0.49037094167766293,0.005290189286504876
21,0.4030628230182608,0.399308907098393,0.0037539159198677896
22,0.3960300594634675,0.32482862137218155,0.07120143809128593
23,0.5133207722532528,0.44183468743357607,0.07148608481967672
24,0.5399885404714814,0.5511571893356714,-0.01116864886419
25,0.3166361372424816,0.2864329589889942,0.030203178253487395
26,0.18716685348686624,0.12259451693774817,0.06457233654911806
27,0.43418246601821664,0.3995517046499804,0.03463076136823623
28,0.38554453124654375,0.41513884567252296,-0.029594314425979207
29,0.25604020276636397,0.2959112350139693,-0.039871032247605354
30,0.4480845124464882,0.4479310645491776,0.00015344789731064346
31,0.4995775750705174,0.4204941343324369,0.07908344073808055
32,0.28382155191514036,0.30102085571451864,-0.017199303799378285
33,0.10359924207965378,0.07572462743363129,0.02787461464602249
34,0.506254224181997,0.5071169201442911,-0.0008626959622941577
35,0.4624541956272263,0.5017455881904989,-0.039291392563272576
36,0.46369402502459706,0.46123730237373994,0.0024567226508571127
37,0.3889310269361213,0.38783700528702786,0.0010940216490934462
38,0.342842436417582,0.32800180890300945,0.014840627514572546
39,0.4537871486268441,0.4162514046828823,0.03753574394396181
40,0.40875770219347696,0.4385806263320976,-0.029822924138620643
41,0.562925689007071,0.5665159356975628,-0.003590246690491794
42,0.5199214862228336,0.4757966626954537,0.04412482352737995
43,0.5417671535164118,0.5330038759047571,0.00876327761165474
44,0.46600696598179636,0.5184263365923008,-0.05241937061050439
45,0.5953397450808332,0.5835766920605018,0.011763053020331427
46,0.38435504945394183,0.42121197766575375,-0.03685692821181191
47,0.5362234047742991,0.4871864619922222,0.049036942782076876
48,0.49581707118248397,0.43423299793253783,0.061584073249946136
49,0.5051219529580747,0.4856457950432713,0.019476157914803394
50,0.41010869816925966,0.5522030866765752,-0.1420943885073156
51,0.5286357517614357,0.5147257904014729,0.013909961359962808
52,0.5245109965694157,0.5056512822219659,0.01885971434744982
AVG,0.41092140131848864,0.39327793654656285,0.017643464771925778
