,
.
;
AUS
Auszahlen
Behaupten
Bekommen
Bereite|Bereiten
Beschwerde
Erläutern
Frauenbewegung
Lade|Laden
Pflicht
Rauben
Schlag
Schwarzsehen
Selbstvertrauen
Stattfinden
Student
Unterrichten
Unterschrift
Untersuche|Untersuchen
Verstehen
[UNKNOWN]
[unknown
[unknown]
ab
abgeben
abhalten
abhängen
abklären
ablegen
ablehnen
ablenken
ablesen
abnehmen
abreißen
abräumen
abschließen
abschließend
absichern
absitzen
abspiegeln
abwerfen
abwischen
achten
adaptieren
an
anbahnen
anbauen
anbieten
anbringen
andeuten
aneignen
anerkennen
anfangen
anfordern
anführen
angeben
angehen
angehören|anhören
angelangen|anlangen
angucken
anhören
anklagen
anknüpfen
ankommen
anmelden
annehmen
anpassen
anrufen
anschauen
anschneiden
ansehen
anspornen
ansprechen
anstellen
antreten
antworten
anwenden
anziehen
arbeiten
auf
aufbauen
aufbewahren
aufbrechen
auffassen
auffordern
aufgeben
aufhalten
aufhören
aufklären
aufkommen
auflisten
auflösen
aufmuntern
aufnehmen
aufpassen
aufräumen
aufstehen
aufsteigen
aufstellen
auftauchen
aufwachen
aufwachsen
aufweisen
aufwerfen
aus
ausbeuten
ausbilden
ausbrechen
ausbreiten
ausdenken
ausdrücken
auseinander
auseinandersetzen
ausfahren|ausführen
ausfallen
ausführen
ausfüllen
ausgeben
ausgehen
ausgehend
ausgelassen
ausgewogen
ausgleichen
ausgrenzen
aushandeln
auskommen
auslachen
auslösen
ausmachen
ausnutzen
ausnützen
ausprobieren
ausreichend
ausrotten
ausschlagen
ausschließen
aussehen
aussprechen
aussterben
aussuchen
austauschen
austeilen
austreten
auswerten
auswählen
auszahlen
auszeichnen
auszählen
ausüben
bauen
beachten
beantragen
beantworten
bearbeiten
bedauern
bedeuten
bedienen
bedrohen
beeindrucken
beeinflussen
beeinträchtigen
beenden
befassen
befinden
befragen
befreien
befriedigen
befördern
befürchten
befürworten
begegnen
begehen
begehren
begeistern
beginnen
begleiten
begraben
begreifen
begrenzen
begrenzt
begründen
behalten
behandeln
beharren
behaupten
beherrschen
behindern
bei
beibringen
beinhalten
beitragen
beklagen
bekommen
bekämpfen
bekümmern
belagern
belasten
belastet
belehren
beleuchten
belichten
belohnen
belästigen
bemerken
bemühen
bemüht
benachteiligen
benehmen
beneiden
benennen
benutzen
benutzt
benötigen
benützen
beobachten
beraten
berauben
berechnen
berechtigen
bereit
bereiten
bereuen
beruhen
beruhigen
berücksichtigen
berühren
beschauen
beschimpfen
beschlagen
beschließen
beschreiben
beschränken
beschweren
beschädigen
beschäftigen
beschämend
beseitigen
besitzen
besorgen
besorgt
besprechen
bestehen
bestehlen
bestimmen
bestrafen
bestraffen
bestreiten
bestätigen
besuchen
beteiligen
betonen
betrachten
betragen
betreffen
betreiben
betreten
betreuen
beunruhigen
beurteilen
bevorzugen
bewaffnen
bewahren
bewegen
beweisen
bewerben
bewerten
bewirken
bewundern
bezahlen
bezeichnen
beziehen
bezweifeln
bieten
bilden
binden
bleiben
brauchen
brechen
breiten
bringen
da
dafügen|dazufügen
dar
darstellen
dass
dauern
denken
denken|gedenken
drücken
durch
durchfahren|durchführen
durchfallen
